Grade in school this year,AM Course - 1st Choice. (Drop down option),AM Course - 2nd Choice. (Drop down option),AM Course - 3rd Choice. (Drop down option),AM Course - 4th Choice. (Drop down option),AM Course - 5th Choice. (Drop down option),PM Course - 1st Choice. (Drop down option),PM Course - 2nd Choice. (Drop down option),PM Course - 3rd Choice. (Drop down option),PM Course - 4th Choice. (Drop down option),PM Course - 5th Choice. (Drop down option)
Junior,Play Like a Kid,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Beautiful Storage,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,"Grilling, Games, & Grins",NASA in the Movies,Women in Sports
Sophomore,College Tours - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,Science in Action: Real World Experiences - Full Day Course,Lifeguarding - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Doughnuts around the world,"Grilling, Games, & Grins",Beads and Baubles: The Art of Jewelry Making,Globalization of East Asian Foodways,Floral Design with Foraging
Sophomore,College Tours - Full Day Course,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Beautiful Storage,Doughnuts around the world,"Grilling, Games, & Grins",Mending and Hiking,Board Games,Floral Design with Foraging
Junior,Science in Action: Real World Experiences - Full Day Course,Backyard Birdles,Wilderness Survival,Farming to Benefit the Community,Beautiful Storage,Doughnuts around the world,Board Games,Beads and Baubles: The Art of Jewelry Making,Floral Design with Foraging,Introduction to Dog Training
Sophomore,College Tours - Full Day Course,Lifeguarding - Full Day Course,Play Like a Kid,Beautiful Morning Hikes,Wilderness Survival,Doughnuts around the world,"Grilling, Games, & Grins",Globalization of East Asian Foodways,Beads and Baubles: The Art of Jewelry Making,Latin American Music and Zumba
Sophomore,College Tours - Full Day Course,Play Like a Kid,Beautiful Storage,Knitting and Crochet: The Basics,Myths and Mirth,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Globalization of East Asian Foodways,Creating Outside the Box,"Quilting as Art, Quilting as Craft"
Freshman,Knitting and Crochet: The Basics,Beautiful Morning Hikes,Play Like a Kid,Introduction to Podcasting,Fishing at the pond,Doughnuts around the world,Intro to Italian,Beads and Baubles: The Art of Jewelry Making,"Grilling, Games, & Grins",NASA in the Movies
Sophomore,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,Beautiful Morning Hikes,Amazing Race - Full Day Course,"Grilling, Games, & Grins",Doughnuts around the world,Mending and Hiking,Teamwork and Collaboration in Video Games,Board Games
Freshman,Fishing at the pond,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Play Like a Kid,Wilderness Survival,"Grilling, Games, & Grins",Doughnuts around the world,Intro to Italian,Globalization of East Asian Foodways,Shark Tank
Freshman,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Play Like a Kid,Wilderness Survival,"Grilling, Games, & Grins",Doughnuts around the world,Intro to Italian,Shark Tank,Teamwork and Collaboration in Video Games
